State,Year,CO2_Balances,Energy_Consumption
Nordrhein-Westfalen,2018,37502,822386.0171
Nordrhein-Westfalen,2019,37287,810290.262
Nordrhein-Westfalen,2020,39061,801656.2722
Nordrhein-Westfalen,2021,39556,809612.8536
Nordrhein-Westfalen,2022,22782.5,472190.4268
Rheinland-Pfalz,1990,6009,134768
Rheinland-Pfalz,1991,6384,142034
Rheinland-Pfalz,1992,6861,148231
Rheinland-Pfalz,1993,5972,131993
Rheinland-Pfalz,1994,6162,140513
Rheinland-Pfalz,1995,7334,161514.44
Rheinland-Pfalz,1996,7279,156906
Rheinland-Pfalz,1997,6800,148943.305
Rheinland-Pfalz,1998,7293,173441.344
Rheinland-Pfalz,1999,7086,173639.016
Rheinland-Pfalz,2000,6840,172290.1343
Rheinland-Pfalz,2001,6328,165204.2129
Rheinland-Pfalz,2002,5692,157474.8723
Rheinland-Pfalz,2003,4078,132914.6838
Rheinland-Pfalz,2004,3884,125768.3727
Rheinland-Pfalz,2005,3980,127881.2828
Rheinland-Pfalz,2006,4098,143339.9351
Rheinland-Pfalz,2007,5118,158910.969
Rheinland-Pfalz,2008,4870,155703.5842
Rheinland-Pfalz,2009,4993,145392.3393
Rheinland-Pfalz,2010,5333,153997.6219
Rheinland-Pfalz,2011,5167,151967.0268
Rheinland-Pfalz,2012,5274,148235.4884
Rheinland-Pfalz,2013,5425,152796.2906
Rheinland-Pfalz,2014,5272,149047.4584
Rheinland-Pfalz,2015,5309,150571.8394
Rheinland-Pfalz,2016,5447,153234.0209
Rheinland-Pfalz,2017,5250,151651.1411
Rheinland-Pfalz,2018,5488,155514.8148
Rheinland-Pfalz,2019,5424,153475.121
Rheinland-Pfalz,2020,5559,153107.7557
Rheinland-Pfalz,2021,5856,159594.5878
Rheinland-Pfalz,2022,5035,143991.1935
Sachsen,1990,11946,188001
Sachsen,1991,6831,110703
Sachsen,1992,4109,73177
Sachsen,1993,2577,56739
Sachsen,1994,2192,53659
Sachsen,1995,2456,59172.18658
Sachsen,1996,2285,58429.09409
Sachsen,1997,2271,60809.4873
Sachsen,1998,2362,63026.74322
Sachsen,1999,2436,65472.24062
Sachsen,2000,2428,67069.68582
Sachsen,2001,2497,69446.51862
Sachsen,2002,2235,65376.96964
Sachsen,2003,2194,66285
Sachsen,2004,2255,68680.32835
Sachsen,2005,2516,75729.87037
Sachsen,2006,2562,78458.647
Sachsen,2007,2626,81048.646
Sachsen,2008,2650,80006.85478
Sachsen,2009,2381,72283.4318
Sachsen,2010,2643,79889.04642
Sachsen,2011,2587,85353.16377
Sachsen,2012,2564,87578.32837
Sachsen,2013,2585,88390.6312
Sachsen,2014,2446,87081.47248
Sachsen,2015,2490,88996.5566
Sachsen,2016,2471,89750.8538
Sachsen,2017,2495,90887.7044
Sachsen,2018,2601,91595.59874
Sachsen,2019,2470,88418.18302
Sachsen,2020,3186,99018.54659
Sachsen,2021,3387,104395.209
Sachsen,2022,2977,95997.88894
Sachsen-Anhalt,1990,17489,260661
Sachsen-Anhalt,1991,11030,167826
Sachsen-Anhalt,1992,8243,131564
Sachsen-Anhalt,1993,5977,102777
Sachsen-Anhalt,1994,5560,92319
Sachsen-Anhalt,1995,5126,90062
Sachsen-Anhalt,1996,2960,64591
Sachsen-Anhalt,1997,2759,64316
Sachsen-Anhalt,1998,2593,63915.22294
Sachsen-Anhalt,1999,3729,85979.14565
Sachsen-Anhalt,2000,3534,86700.49039
Sachsen-Anhalt,2001,3304,84704.20391
Sachsen-Anhalt,2002,3608,92734.22135
Sachsen-Anhalt,2003,3659,97349.59597
Sachsen-Anhalt,2004,3756,105109.2637
Sachsen-Anhalt,2005,4092,115035.677
Sachsen-Anhalt,2006,4280,122455.9255
Sachsen-Anhalt,2007,4677,131857.6188
Sachsen-Anhalt,2008,4534,124247.0982
Sachsen-Anhalt,2009,4343,123554.0569
Sachsen-Anhalt,2010,4480,131483.8557
Sachsen-Anhalt,2011,4685,139472.317
Sachsen-Anhalt,2012,4697,141209.0086
Sachsen-Anhalt,2013,4583,139814.7607
Sachsen-Anhalt,2014,4746,142233.8293
Sachsen-Anhalt,2015,4633,140763.1914
Sachsen-Anhalt,2016,4740,140367.897
Sachsen-Anhalt,2017,4770,148029.1486
Sachsen-Anhalt,2018,5133,151383.044
Sachsen-Anhalt,2019,5015,144677.1624
Sachsen-Anhalt,2020,4957,143640.921
Sachsen-Anhalt,2021,5287,149691.2648
Sachsen-Anhalt,2022,4837,139540.3809
Schleswig-Holstein,1990,3805,67322
Schleswig-Holstein,1991,3658,65074
Schleswig-Holstein,1992,3705,65573
Schleswig-Holstein,1993,3989,67091
Schleswig-Holstein,1994,3972,67413
Schleswig-Holstein,1995,3383,65660
Schleswig-Holstein,1996,3375,66131
Schleswig-Holstein,1997,3160,62922
Schleswig-Holstein,1998,3009,61497
Schleswig-Holstein,1999,3309,64835
Schleswig-Holstein,2000,3128,64896.595
Schleswig-Holstein,2001,2245,50019.98489
Schleswig-Holstein,2002,2076,47496.98513
Schleswig-Holstein,2003,2106,44923.65291
Schleswig-Holstein,2004,2031,42097.28042
Schleswig-Holstein,2005,2055,44114.0693
Schleswig-Holstein,2006,1997,43771.38697
Schleswig-Holstein,2007,2035,44821.0716
Schleswig-Holstein,2008,1988,44729.57408
Schleswig-Holstein,2009,1946,42952.58937
Schleswig-Holstein,2010,1881,47818.36089
Schleswig-Holstein,2011,1739,46391.72224
Schleswig-Holstein,2012,1851,45294.95051
Schleswig-Holstein,2013,1740,44447.72171
Schleswig-Holstein,2014,1585,41523.96337
Schleswig-Holstein,2015,1651,42264.28856
Schleswig-Holstein,2016,1613,41933.19473
Schleswig-Holstein,2017,1603,41883.98356
Schleswig-Holstein,2018,1788,44329.43128
Schleswig-Holstein,2019,1789,43839.96447
Schleswig-Holstein,2020,1748,43328.07119
Schleswig-Holstein,2021,1819,44931.26508
Schleswig-Holstein,2022,1711,42409.31264
Thuringen,1990,7705,116264
Thuringen,1991,5136,79183
Thuringen,1992,3961,59096
Thuringen,1993,2662,47967
Thuringen,1994,1598,34220
Thuringen,1995,1677,37866.88721
Thuringen,1996,1641,38845.99174
Thuringen,1997,1642,37318.81603
Thuringen,1998,1563,36713.43247
Thuringen,1999,1580,37544.79034
Thuringen,2000,1541,38622.80699
Thuringen,2001,1449,38503.2596
Thuringen,2002,1405,43505.29849
Thuringen,2003,1581,49724.17866
Thuringen,2004,1477,50699.09803
Thuringen,2005,1375,51078.79287
Thuringen,2006,1325,54016.89098
Thuringen,2007,1580,59926.89558
Thuringen,2008,1529,56099.97229
Thuringen,2009,1473,49716.48072
Thuringen,2010,1677,56183.37303
Thuringen,2011,1708,56289.12628
Thuringen,2012,1685,55017.98595
Thuringen,2013,1590,55533.7848
Thuringen,2014,1620,55600.01111
Thuringen,2015,1584,55828.68174
Thuringen,2016,1669,59600.40037
Thuringen,2017,1690,58789.98032
Thuringen,2018,1853,60389.87795
Thuringen,2019,1859,59460.23297
Thuringen,2020,1790,57041.25159
Thuringen,2021,1857,57357.51752
Thuringen,2022,1857,57357.51752
